0,3368
1,2897
2,3492
3,2350
4,1863
5,2707
6,12438
7,7289
8,6048
9,8989
10,8361
11,5836
12,5971
13,1625
14,2796
15,5119
16,10148
17,6299
18,9942
19,2637
20,10274
21,12807
22,9083
23,3221
24,12993
25,3939
26,12898
27,10041
28,9438
29,989
30,6750
31,5274
32,1104
33,7342
34,11903
35,2103
36,9311
37,9470
38,11758
39,1308
40,4705
41,5056
42,6334
43,1601
44,10038
45,3159
46,4695
47,10298
48,4044
49,3414
50,6837
51,6817
52,10865
53,10481
54,4994
55,2132
56,11910
57,3513
58,4668
59,11028
60,8888
61,7106
62,12337
63,2428
64,12368
65,12696
66,12340
67,10373
68,2480
69,9544
70,10069
71,10030
72,7007
73,6741
74,1241
75,10294
76,10474
77,10805
78,12557
79,6549
80,8695
81,2934
82,2253
83,8536
84,929
85,5102
86,10065
87,1759
88,12652
89,4466
90,3458
91,12223
92,9199
93,9768
94,1546
95,11640
96,9519
97,10612
98,10830
99,12151
100,6273
101,3461
102,6006
103,11394
104,10939
105,12953
106,12375
107,6466
108,5225
109,3946
110,5861
111,9575
112,10432
113,9638
114,9971
115,1520
116,4712
117,1809
118,9528
119,12724
120,3355
121,12764
122,6473
123,11941
124,4262
125,7144
126,4293
127,11303
128,1584
129,4169
130,11994
131,5380
132,9319
133,3289
134,2163
135,4439
136,1074
137,8208
138,13178
139,3212
140,9124
141,10504
142,9597
143,10227
144,13033
145,6392
146,1346
147,1740
148,7638
149,1586
150,10672
151,5823
152,13112
153,12766
154,1728
155,3120
156,5087
157,2587
158,3504
159,6682
160,7816
161,10478
162,6297
163,5564
164,9173
165,2734
166,4727
167,11466
168,2583
169,6079
170,4495
171,4152
172,12036
173,6084
174,13158
175,9623
176,12678
177,6853
178,10166
179,2851
180,13048
181,1359
182,5760
183,2118
184,12216
185,2741
186,9946
187,10029
188,1001
189,5737
190,3852
191,4646
192,4631
193,3197
194,5948
195,12429
196,10018
197,8899
198,3546
199,6028
200,2783
201,2815
202,4301
203,5445
204,7296
205,12535
206,11547
207,4952
208,4903
209,11565
210,1344
211,10434
212,2026
213,3652
214,1089
215,9184
216,1968
217,1067
218,8336
219,6143
220,7973
221,8943
