0,4
1,118
2,116
3,82
4,107
5,19
6,145
7,53
8,190
9,154
10,130
11,149
12,165
13,37
14,127
15,138
16,2
17,170
18,187
19,163
20,185
21,28
22,176
23,66
24,172
25,136
26,24
27,121
28,11
29,189
30,150
31,132
32,158
33,8
34,60
35,224
36,169
37,101
38,20
39,15
40,48
41,112
42,35
43,97
44,174
45,206
46,211
47,147
48,55
49,178
50,103
51,141
52,22
53,196
54,123
55,156
56,213
57,167
58,17
59,152
60,181
61,194
62,99
63,125
64,198
65,129
66,180
67,188
68,69
69,201
70,157
71,14
72,232
73,162
74,115
75,7
76,36
77,168
78,120
79,104
80,56
81,182
82,131
83,230
84,164
85,83
86,34
87,3
88,191
89,9
90,61
91,30
92,41
93,25
94,210
95,184
96,166
97,171
98,229
99,153
100,133
101,10
102,29
103,139
104,155
105,179
106,67
107,186
108,106
109,137
110,27
111,173
112,18
113,124
114,32
115,151
116,72
117,52
118,58
119,50
120,160
121,195
122,207
123,111
124,212
125,128
126,12
127,119
128,38
129,205
130,177
131,144
132,236
133,126
134,117
